@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute varObjetivo numeric

@data
16,10,0
16,10.5,0
16,11,0
16,11.5,0
16,12,0
16,12.5,0
16,13,0
16,13.5,0
16,14,0
16,14.5,0
16,15,0
16,15.5,0
16,16,0
16,16.5,0
16,17,0
16,17.5,0
16,18,0
16,18.5,0
16,19,0
16,19.5,1
16,20,1
16.5,10,0
16.5,10.5,0
16.5,11,0
16.5,11.5,0
16.5,12,0
16.5,12.5,0
16.5,13,0
16.5,13.5,0
16.5,14,0
16.5,14.5,0
16.5,15,0
16.5,15.5,0
16.5,16,0
16.5,16.5,0
16.5,17,0
16.5,17.5,0
16.5,18,1
16.5,18.5,1
16.5,19,1
16.5,19.5,1
16.5,20,1
17,10,0
17,10.5,0
17,11,0
17,11.5,0
17,12,0
17,12.5,0
17,13,0
17,13.5,0
17,14,0
17,14.5,0
17,15,0
17,15.5,0
17,16,0
17,16.5,0
17,17,0
17,17.5,0
17,18,1
17,18.5,1
17,19,1
17,19.5,1
17,20,0
17.5,10,0
17.5,10.5,0
17.5,11,0
17.5,11.5,0
17.5,12,0
17.5,12.5,0
17.5,13,0
17.5,13.5,0
17.5,14,0
17.5,14.5,0
17.5,15,0
17.5,15.5,0
17.5,16,0
17.5,16.5,0
17.5,17,0
17.5,17.5,1
17.5,18,1
17.5,18.5,1
17.5,19,1
17.5,19.5,0
17.5,20,0
18,10,0
18,10.5,0
18,11,0
18,11.5,0
18,12,0
18,12.5,0
18,13,0
18,13.5,0
18,14,0
18,14.5,0
18,15,0
18,15.5,0
18,16,0
18,16.5,1
18,17,1
18,17.5,1
18,18,1
18,18.5,0
18,19,0
18,19.5,0
18,20,0
18.5,10,0
18.5,10.5,0
18.5,11,0
18.5,11.5,0
18.5,12,0
18.5,12.5,0
18.5,13,0
18.5,13.5,0
18.5,14,0
18.5,14.5,0
18.5,15,0
18.5,15.5,0
18.5,16,0
18.5,16.5,1
18.5,17,1
18.5,17.5,1
18.5,18,1
18.5,18.5,0
18.5,19,0
18.5,19.5,0
18.5,20,0
19,10,0
19,10.5,0
19,11,0
19,11.5,0
19,12,0
19,12.5,0
19,13,0
19,13.5,0
19,14,0
19,14.5,0
19,15,0
19,15.5,0
19,16,1
19,16.5,1
19,17,1
19,17.5,1
19,18,0
19,18.5,0
19,19,0
19,19.5,0
19,20,0
19.5,10,0
19.5,10.5,0
19.5,11,0
19.5,11.5,0
19.5,12,0
19.5,12.5,0
19.5,13,0
19.5,13.5,0
19.5,14,0
19.5,14.5,0
19.5,15,0
19.5,15.5,0
19.5,16,1
19.5,16.5,1
19.5,17,1
19.5,17.5,1
19.5,18,0
19.5,18.5,0
19.5,19,0
19.5,19.5,0
19.5,20,0
20,10,0
20,10.5,0
20,11,0
20,11.5,0
20,12,0
20,12.5,0
20,13,0
20,13.5,0
20,14,0
20,14.5,0
20,15,0
20,15.5,1
20,16,1
20,16.5,1
20,17,1
20,17.5,0
20,18,0
20,18.5,0
20,19,0
20,19.5,0
20,20,0
