@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute varObjetivo numeric

@data
16,10,49.410736
16,10.5,48.450737
16,11,48.450737
16,11.5,44.93074
16,12,44.610741
16,12.5,44.610741
16,13,42.050743
16,13.5,42.690742
16,14,39.810745
16,14.5,41.409508
16,15,38.208138
16,15.5,38.846779
16,16,63.499996
16,16.5,63.5
16,17,63.5
16,17.5,63.5
16,18,63.5
16,18.5,63.5
16,19,63.5
16,19.5,62.54472
16,20,70.946152
16.5,10,46.56308
16.5,10.5,46.56308
16.5,11,43.923065
16.5,11.5,43.593063
16.5,12,43.923065
16.5,12.5,41.943054
16.5,13,40.293045
16.5,13.5,37.98291
16.5,14,38.971542
16.5,14.5,36.660156
16.5,15,63.49556
16.5,15.5,63.5
16.5,16,63.5
16.5,16.5,63.5
16.5,17,63.5
16.5,17.5,63.5
16.5,18,63.5
16.5,18.5,63.5
16.5,19,66.88662
16.5,19.5,67.329277
16.5,20,51.775852
17,10,43.697067
17,10.5,45.057068
17,11,42.677067
17,11.5,41.997066
17,12,41.317066
17,12.5,37.917065
17,13,38.936562
17,13.5,36.215202
17,14,35.533859
17,14.5,63.499973
17,15,63.5
17,15.5,63.5
17,16,63.5
17,16.5,63.5
17,17,63.5
17,17.5,63.5
17,18,63.5
17,18.5,65.222443
17,19,65.589745
17,19.5,48.010258
17,20,44.004337
17.5,10,43.609558
17.5,10.5,39.759575
17.5,11,40.109573
17.5,11.5,40.109573
17.5,12,36.25959
17.5,12.5,36.258553
17.5,13,35.20723
17.5,13.5,63.412659
17.5,14,63.5
17.5,14.5,63.5
17.5,15,63.5
17.5,15.5,63.5
17.5,16,63.5
17.5,16.5,63.5
17.5,17,63.5
17.5,17.5,63.5
17.5,18,68.71582
17.5,18.5,64.236237
17.5,19,47.399269
17.5,19.5,43.821163
17.5,20,43.859612
18,10,38.621887
18,10.5,36.821884
18,11,38.261887
18,11.5,34.661469
18,12,33.220184
18,12.5,32.138916
18,13,63.499931
18,13.5,63.5
18,14,63.5
18,14.5,63.5
18,15,63.5
18,15.5,63.5
18,16,63.5
18,16.5,63.5
18,17,63.5
18,17.5,67.713005
18,18,64.389153
18,18.5,47.216316
18,19,43.510345
18,19.5,43.310093
18,20,43.131508
18.5,10,34.6045
18.5,10.5,34.974468
18.5,11,36.08326
18.5,11.5,30.902033
18.5,12,31.270798
18.5,12.5,63.499989
18.5,13,63.5
18.5,13.5,63.5
18.5,14,63.5
18.5,14.5,63.5
18.5,15,63.5
18.5,15.5,63.5
18.5,16,63.5
18.5,16.5,63.5
18.5,17,61.675125
18.5,17.5,65.866119
18.5,18,44.002205
18.5,18.5,43.034889
18.5,19,43.00882
18.5,19.5,42.950935
18.5,20,42.895023
19,10,33.167
19,10.5,35.065861
19,11,32.024677
19,11.5,28.981247
19,12,63.5
19,12.5,63.5
19,13,63.5
19,13.5,63.5
19,14,63.5
19,14.5,63.5
19,15,63.5
19,15.5,63.5
19,16,63.5
19,16.5,61.761322
19,17,67.766777
19,17.5,50.880836
19,18,44.008018
19,18.5,42.792107
19,19,42.757488
19,19.5,42.686909
19,20,42.92704
19.5,10,32.177368
19.5,10.5,32.176254
19.5,11,63.495003
19.5,11.5,63.5
19.5,12,63.5
19.5,12.5,63.5
19.5,13,63.5
19.5,13.5,63.5
19.5,14,63.5
19.5,14.5,63.5
19.5,15,63.5
19.5,15.5,63.5
19.5,16,63.5
19.5,16.5,67.790756
19.5,17,56.492958
19.5,17.5,44.005623
19.5,18,40.950047
19.5,18.5,40.744553
19.5,19,39.830803
19.5,19.5,38.912407
19.5,20,35.555653
20,10,30.867414
20,10.5,63.498131
20,11,63.5
20,11.5,63.5
20,12,63.5
20,12.5,63.5
20,13,63.5
20,13.5,63.5
20,14,63.5
20,14.5,63.5
20,15,63.5
20,15.5,63.5
20,16,68.818954
20,16.5,63.5
20,17,44.005493
20,17.5,39.503662
20,18,38.953434
20,18.5,38.443569
20,19,37.251339
20,19.5,35.652992
20,20,28.773727
